F1,F2,F3,F4,F5
13.8,360,0.6,1,34
-2.8,360,0.8,0,57
-2.8,360,0.8,0,69
3.8,360,3.9,0,29
13.8,360,0.6,1,50
18.9,360,2.7,0,56
1.1,360,1.1,0,60
-1,360,2.4,0,34
-1,360,2.4,0,38
-2.5,360,4.5,0,36
-2.5,360,4.5,0,34
1.1,360,1.1,0,18
3.8,360,3.9,0,31
18.9,360,2.7,0,56
-3.4,360,2.8,0,33
-3.4,360,2.8,0,46
24.7,360,1.1,0,16
24.7,360,1.1,0,14
2.1,360,1,0,29
28.1,360,2.6,0,42
17.5,360,1.7,0,33
2.1,360,1,0,28
-5,360,0.7,0,22
-3.1,360,2.2,0,32
17,360,2.8,0,22
-4.6,360,1.7,0,28
24.4,360,0.7,0,68
24.4,360,0.7,0,88
17,360,2.8,0,20
-4.6,360,1.7,0,42
-3.1,360,2.2,0,34
17.5,360,1.7,0,45
-5,360,0.7,0,10
28.1,360,2.6,0,13
-4.2,360,1.8,0,50
19.8,360,1.3,0,55
-1.3,360,0.8,0,41
30.9,360,2.2,0,15
17.7,360,0.7,0,77
-9,360,3.7,0,40
-9.6,360,1.2,0,15
17.7,360,0.7,0,45
-9,360,3.7,0,34
14.7,360,1.3,0,12
14.7,360,1.3,0,20
0.5,360,0.6,0,58
30.9,360,2.2,0,43
-1.3,360,0.8,0,37
20.2,360,1.7,0,51
18.6,360,0.8,0,10
16.9,360,0.7,0,24
16.9,360,0.7,0,22
11.1,360,0.5,0,18
11.1,360,0.5,0,16
18.6,360,0.8,0,13
1.4,360,2.9,0,50
12.5,360,0.7,0,20
12.5,360,0.7,0,33
10.4,360,5.6,0,38
10.4,360,5.6,0,46
17.7,360,1.6,0,10
20.2,360,1.7,0,53
28.6,360,0.6,0,41
28.6,360,0.6,0,51
6.8,360,1.5,0,28
6.8,360,1.5,0,26
14.1,360,1.4,0,38
14.1,360,1.4,0,56
5.2,360,1.3,0,30
5.2,360,1.3,0,26
-2.2,360,3.3,0,32
19.6,360,1.2,0,36
