date,PM25,temp,ws,hum,press,distance,SO2,CO,O3,NO2,PM10
2019-02-01 AM 1:00:00,9,-4.8,2.7,39,1.7,2000,0.003,0.4,0.026,0.012,36
2019-02-01 AM 2:00:00,13,-4.9,1.5,46,2,1729,0.003,0.4,0.025,0.013,37
2019-02-01 AM 3:00:00,11,-5.1,1.4,47,2,1731,0.003,0.4,0.023,0.015,39
2019-02-01 AM 4:00:00,13,-4.7,1.7,48,2.1,1987,0.003,0.4,0.015,0.024,43
2019-02-01 AM 5:00:00,13,-5.1,0.8,49,2.1,2000,0.002,0.5,0.011,0.029,40
2019-02-01 AM 6:00:00,19,-4.5,1.6,51,2.2,2000,0.003,0.6,0.002,0.042,36
2019-02-01 AM 7:00:00,16,-4.8,0.3,51,2.2,2000,0.003,0.7,0.002,0.046,35
2019-02-01 AM 8:00:00,15,-4.8,0.9,52,2.2,2000,0.003,0.8,0.003,0.048,37
2019-02-01 AM 9:00:00,14,-3.2,0.9,47,2.3,2000,0.003,0.9,0.004,0.049,38
2019-02-01 AM 10:00:00,15,-1.4,1.8,44,2.4,2000,0.004,0.7,0.005,0.047,37
2019-02-01 AM 11:00:00,16,0.5,1.1,44,2.8,1987,0.004,0.6,0.016,0.03,39
2019-02-01 PM 12:00:00,25,1.2,2.9,43,2.9,2000,0.005,0.6,0.023,0.023,49
2019-02-01 PM 1:00:00,25,1.7,3.1,48,3.3,2000,0.005,0.6,0.029,0.016,56
2019-02-01 PM 2:00:00,19,1.3,3.9,54,3.6,2000,0.005,0.5,0.029,0.016,47
2019-02-01 PM 3:00:00,16,1.8,3.1,57,4,2000,0.004,0.5,0.031,0.015,41
2019-02-01 PM 4:00:00,14,1.7,3.5,62,4.3,2000,0.005,0.5,0.022,0.022,41
2019-02-01 PM 5:00:00,16,1.4,3.7,71,4.8,1640,0.004,0.5,0.023,0.023,43
2019-02-01 PM 6:00:00,18,1.4,4.8,61,4.1,1799,0.004,0.6,0.018,0.027,47
2019-02-01 PM 7:00:00,21,1.3,3.6,61,4.1,1658,0.004,0.5,0.017,0.029,51
2019-02-01 PM 8:00:00,22,1.2,3.5,50,3.3,1950,0.003,0.5,0.02,0.026,52
2019-02-01 PM 9:00:00,21,1,3.3,52,3.4,2000,0.003,0.6,0.009,0.039,49
2019-02-01 PM 10:00:00,21,0.5,2.4,59,3.7,2000,0.003,0.6,0.012,0.038,54
2019-02-01 PM 11:00:00,19,0.4,2.1,58,3.6,2000,0.004,0.6,0.003,0.05,55
2019-02-02 AM 1:00:00,22,-0.8,1.7,61,3.5,1549,0.004,0.9,0.002,0.06,52
2019-02-02 AM 2:00:00,21,-1.3,2.1,68,3.8,1181,0.004,0.9,0.002,0.056,54
2019-02-02 AM 3:00:00,24,-1.4,2.1,71,3.9,932,0.004,0.8,0.002,0.053,54
2019-02-02 AM 4:00:00,25,-1.6,2.9,70,3.8,874,0.004,0.7,0.002,0.052,52
2019-02-02 AM 5:00:00,24,-1.8,2.4,68,3.6,923,0.004,0.7,0.001,0.049,48
2019-02-02 AM 6:00:00,27,-1.1,2.8,66,3.7,1087,0.004,0.7,0.001,0.047,52
2019-02-02 AM 7:00:00,23,-0.3,3.3,64,3.8,1225,0.004,0.7,0.002,0.047,56
2019-02-02 AM 8:00:00,27,0.2,2.5,64,4,1115,0.005,0.7,0.002,0.05,54
2019-02-02 AM 9:00:00,27,0.9,3.6,62,4.1,1034,0.004,0.7,0.002,0.053,58
2019-02-02 AM 10:00:00,28,1.5,4.2,63,4.3,962,0.005,0.8,0.003,0.054,59
2019-02-02 AM 11:00:00,30,2.5,3.9,61,4.5,852,0.005,0.8,0.007,0.048,63
2019-02-02 PM 12:00:00,32,3.7,5.1,57,4.5,800,0.006,0.7,0.015,0.038,70
2019-02-02 PM 1:00:00,34,4.4,4.5,56,4.7,737,0.006,0.6,0.019,0.034,70
2019-02-02 PM 2:00:00,37,5,4.7,55,4.8,711,0.006,0.7,0.02,0.033,74
2019-02-02 PM 3:00:00,38,5.6,4.1,55,5,704,0.007,0.6,0.023,0.032,77
2019-02-02 PM 4:00:00,39,7,3.2,51,5.1,744,0.007,0.6,0.032,0.025,78
2019-02-02 PM 5:00:00,38,6,2.2,56,5.2,702,0.006,0.6,0.034,0.023,74
2019-02-02 PM 6:00:00,40,5.4,1.5,58,5.2,699,0.005,0.7,0.018,0.041,82
2019-02-02 PM 7:00:00,42,5.3,3.2,56,5,685,0.005,0.8,0.007,0.054,82
2019-02-02 PM 8:00:00,40,5,3.1,60,5.2,687,0.005,0.8,0.01,0.048,74
2019-02-02 PM 9:00:00,45,5,2.8,58,5.1,693,0.005,0.9,0.002,0.06,82
2019-02-02 PM 10:00:00,50,4.9,2.6,55,4.8,659,0.004,0.9,0.002,0.059,77
2019-02-02 PM 11:00:00,42,4.9,2.6,55,4.8,691,0.004,0.8,0.002,0.058,78
2019-02-03 AM 1:00:00,37,4.5,3.5,64,5.4,514,0.004,0.7,0.003,0.054,75
2019-02-03 AM 2:00:00,43,3.6,3.1,86,6.8,212,0.003,0.7,0.007,0.047,74
2019-02-03 AM 3:00:00,43,3.3,4.2,93,7.2,151,0.003,0.6,0.014,0.033,69
2019-02-03 AM 4:00:00,42,3.3,3.3,97,7.5,64,0.003,0.6,0.019,0.024,64
2019-02-03 AM 5:00:00,40,3.3,3.5,98,7.6,59,0.003,0.6,0.022,0.021,59
2019-02-03 AM 6:00:00,38,3.4,2.2,99,7.7,52,0.003,0.6,0.024,0.018,54
2019-02-03 AM 7:00:00,32,3.6,1.2,99,7.8,29,0.003,0.6,0.023,0.019,47
2019-02-03 AM 8:00:00,32,3.6,2.9,99,7.8,55,0.003,0.6,0.015,0.022,42
2019-02-03 AM 9:00:00,26,3.8,2,98,7.8,58,0.003,0.6,0.013,0.02,39
2019-02-03 AM 10:00:00,28,4.1,3,99,8.1,81,0.003,0.6,0.012,0.022,36
2019-02-03 AM 11:00:00,21,4.5,1.6,99,8.3,105,0.003,0.6,0.01,0.024,32
2019-02-03 PM 12:00:00,11,3.6,0.5,98,7.7,13,0.003,0.6,0.007,0.028,34
2019-02-03 PM 1:00:00,24,3.1,2.5,98,7.5,7,0.003,0.6,0.01,0.024,34
2019-02-03 PM 2:00:00,26,3.4,2,98,7.6,6,0.003,0.6,0.013,0.021,27
2019-02-03 PM 3:00:00,20,3.5,3.2,98,7.7,6,0.003,0.6,0.017,0.018,26
2019-02-03 PM 4:00:00,16,3.3,4.2,98,7.6,38,0.003,0.6,0.018,0.019,22
2019-02-03 PM 5:00:00,19,3.2,5.8,98,7.5,52,0.003,0.7,0.018,0.017,26
2019-02-03 PM 6:00:00,17,3.6,4.1,99,7.8,368,0.003,0.7,0.024,0.014,30
2019-02-03 PM 7:00:00,13,3.6,2.4,98,7.7,201,0.003,0.8,0.017,0.022,28
2019-02-03 PM 8:00:00,22,3.4,4.2,98,7.6,286,0.003,0.9,0.017,0.022,34
2019-02-03 PM 9:00:00,33,3.1,5.5,98,7.5,245,0.003,0.8,0.027,0.017,48
2019-02-03 PM 10:00:00,32,2.6,7.3,84,6.2,206,0.003,0.8,0.029,0.014,46
2019-02-03 PM 11:00:00,57,1.5,7.6,69,4.7,298,0.003,0.9,0.029,0.015,85
2019-02-04 AM 1:00:00,77,0,4.5,70,4.3,277,0.003,0.8,0.029,0.013,147
2019-02-04 AM 2:00:00,74,-0.4,4.2,62,3.7,486,0.003,0.6,0.033,0.009,147
2019-02-04 AM 3:00:00,59,-0.6,4.3,57,3.3,620,0.004,0.6,0.032,0.01,124
2019-02-04 AM 4:00:00,53,-0.9,3.6,58,3.3,739,0.003,0.6,0.027,0.013,112
2019-02-04 AM 5:00:00,51,-1.2,2.6,47,2.6,828,0.003,0.6,0.024,0.014,103
2019-02-04 AM 6:00:00,47,-1.1,3.4,51,2.9,598,0.003,0.7,0.019,0.018,96
2019-02-04 AM 7:00:00,47,-1.5,4.6,49,2.7,909,0.003,0.6,0.021,0.017,97
2019-02-04 AM 8:00:00,47,-2.2,3.9,50,2.6,862,0.003,0.6,0.027,0.012,96
2019-02-04 AM 9:00:00,47,-1.9,3.3,46,2.4,692,0.003,0.6,0.027,0.014,96
2019-02-04 AM 10:00:00,43,-1.1,4.7,36,2,1131,0.003,0.6,0.028,0.013,95
2019-02-04 AM 11:00:00,41,-0.6,3.2,34,2,1423,0.004,0.5,0.032,0.01,80
2019-02-04 PM 12:00:00,34,0.2,2.6,30,1.9,1719,0.003,0.4,0.036,0.008,62
2019-02-04 PM 1:00:00,11,1,2.4,28,1.8,2000,0.003,0.4,0.037,0.006,46
2019-02-04 PM 2:00:00,5,1.4,3.6,27,1.8,2000,0.003,0.4,0.037,0.007,42
2019-02-04 PM 3:00:00,13,1.7,3.4,29,2,2000,0.003,0.4,0.037,0.008,47
2019-02-04 PM 4:00:00,16,0.8,3,37,2.4,2000,0.003,0.4,0.038,0.007,54
2019-02-04 PM 5:00:00,10,0.3,2.7,37,2.3,2000,0.003,0.4,0.036,0.01,51
2019-02-04 PM 6:00:00,16,-0.4,2.9,46,2.7,1787,0.003,0.5,0.034,0.013,50
2019-02-04 PM 7:00:00,22,-0.8,2.1,39,2.3,2000,0.003,0.4,0.032,0.014,50
2019-02-04 PM 8:00:00,19,-1.3,0.7,38,2.1,2000,0.003,0.4,0.028,0.018,46
2019-02-04 PM 9:00:00,8,-1.7,0.2,36,1.9,2000,0.003,0.4,0.019,0.026,47
2019-02-04 PM 10:00:00,12,-1.5,1.3,45,2.5,2000,0.003,0.5,0.016,0.03,45
2019-02-04 PM 11:00:00,18,-1.6,1.5,43,2.3,2000,0.003,0.5,0.006,0.041,44
2019-02-05 AM 1:00:00,19,-1.8,1.6,53,2.8,1666,0.003,0.6,0.004,0.042,43
2019-02-05 AM 2:00:00,12,-1.9,1.6,55,2.9,1606,0.003,0.6,0.002,0.045,42
2019-02-05 AM 3:00:00,25,-1.9,0.8,54,2.9,1563,0.003,0.6,0.002,0.045,47
2019-02-05 AM 4:00:00,21,-2,2.4,58,3.1,1515,0.003,0.6,0.002,0.041,51
2019-02-05 AM 5:00:00,20,-0.8,4.1,50,2.9,1863,0.003,0.7,0.002,0.044,50
2019-02-05 AM 6:00:00,22,-0.7,4.1,44,2.6,1962,0.004,0.7,0.002,0.047,52
2019-02-05 AM 7:00:00,21,-1.2,3.9,47,2.6,1887,0.004,0.7,0.002,0.047,52
2019-02-05 AM 8:00:00,17,-1.1,3.8,49,2.8,1841,0.004,0.6,0.003,0.045,51
2019-02-05 AM 9:00:00,16,1,3.7,46,3,1716,0.004,0.7,0.005,0.043,57
2019-02-05 AM 10:00:00,21,3.4,3.4,40,3.1,1517,0.005,0.6,0.007,0.043,63
2019-02-05 AM 11:00:00,28,5.1,4.9,31,2.7,1358,0.008,0.7,0.021,0.03,84
2019-02-05 PM 12:00:00,16,6.9,3.7,27,2.7,1311,0.006,0.5,0.033,0.019,121
2019-02-05 PM 1:00:00,17,7.9,4.3,20,2.1,1080,0.006,0.5,0.038,0.017,137
2019-02-05 PM 2:00:00,24,8.4,4.4,23,2.5,1064,0.005,0.5,0.043,0.014,137
2019-02-05 PM 3:00:00,30,8.5,4.1,24,2.7,1013,0.006,0.4,0.048,0.011,145
2019-02-05 PM 4:00:00,31,8.4,1.6,28,3.1,940,0.007,0.5,0.046,0.014,157
2019-02-05 PM 5:00:00,35,7.3,1.9,32,3.3,923,0.008,0.5,0.04,0.021,147
2019-02-05 PM 6:00:00,32,6.5,1.8,34,3.3,877,0.007,0.6,0.032,0.029,147
2019-02-05 PM 7:00:00,34,5.8,2.5,35,3.2,864,0.007,0.7,0.014,0.049,147
2019-02-05 PM 8:00:00,40,5.7,2.1,32,2.9,806,0.006,0.9,0.003,0.063,141
2019-02-05 PM 9:00:00,37,4.9,2,42,3.6,795,0.005,1,0.002,0.068,137
2019-02-05 PM 10:00:00,41,4.7,2.6,43,3.7,831,0.005,1.2,0.002,0.07,136
2019-02-05 PM 11:00:00,37,4.6,2.8,37,3.1,852,0.006,1.1,0.002,0.07,132
2019-02-06 AM 1:00:00,43,3.3,1.5,48,3.7,657,0.005,0.8,0.002,0.062,127
2019-02-06 AM 2:00:00,40,2.9,1.7,53,4,807,0.005,0.8,0.002,0.056,133
2019-02-06 AM 3:00:00,41,2.6,1.4,48,3.5,688,0.004,0.7,0.004,0.048,134
2019-02-06 AM 4:00:00,44,2.7,1.9,47,3.5,728,0.004,0.8,0.002,0.049,134
2019-02-06 AM 5:00:00,43,2.8,3.2,52,3.9,680,0.004,0.9,0.002,0.052,129
2019-02-06 AM 6:00:00,39,3,2.8,48,3.6,813,0.004,1.1,0.002,0.062,121
2019-02-06 AM 7:00:00,38,2.4,1.6,54,3.9,778,0.004,1.2,0.002,0.065,119
2019-02-06 AM 8:00:00,36,2,2.4,56,4,801,0.004,1.1,0.002,0.058,113
2019-02-06 AM 9:00:00,38,3.6,3.1,52,4.1,890,0.004,1.1,0.003,0.053,113
2019-02-06 AM 10:00:00,35,4.4,1.1,51,4.3,854,0.005,1.1,0.004,0.059,111
2019-02-06 AM 11:00:00,44,6.3,1.1,48,4.6,857,0.006,1.1,0.005,0.056,121
2019-02-06 PM 12:00:00,40,7.5,1.5,51,5.3,910,0.007,1,0.011,0.048,119
2019-02-06 PM 1:00:00,35,8.3,2.1,56,6.1,1060,0.009,0.6,0.027,0.034,117
2019-02-06 PM 2:00:00,29,9.5,1.7,58,6.9,1397,0.009,0.5,0.035,0.024,107
2019-02-06 PM 3:00:00,25,8.9,1.3,50,5.7,1454,0.006,0.5,0.041,0.018,102
2019-02-06 PM 4:00:00,23,8.2,3.4,54,5.9,1531,0.007,0.5,0.036,0.024,100
