date,PM10,temp,ws,hum,SO2,CO,O3,NO2
2015-01-02 0:00,18,-3.5,4.4,46,0.008,0.3,0.033,0.005
2015-01-02 1:00,37,5.9,3.2,46,0.008,0.3,0.04,0.007
2015-01-02 2:00,37,-3.5,4.4,46,0.008,0.3,0.034,0.008
2015-01-02 3:00,50,4.8,6,46,0.008,0.3,0.033,0.012
2015-01-02 4:00,46,-7.8,6.8,46,0.008,0.3,0.031,0.012
2015-01-02 5:00,28,-0.2,2.6,47,0.008,0.3,0.037,0.009
2015-01-02 6:00,44,-0.5,6.7,47,0.008,0.3,0.034,0.015
2015-01-02 7:00,48,1.6,2.7,47,0.008,0.3,0.029,0.028
2015-01-02 8:00,123,-9.2,5.4,48,0.008,0.3,0.026,0.006
2015-01-02 9:00,17,-1.1,3.4,48,0.008,0.3,0.026,0.009
2015-01-02 10:00,34,5.9,4.3,48,0.008,0.3,0.032,0.011
2015-01-02 11:00,25,-0.8,1.7,48,0.008,0.3,0.03,0.012
2015-01-02 12:00,25,9,2.5,48,0.008,0.3,0.037,0.013
2015-01-02 13:00,27,6.3,5.5,48,0.008,0.3,0.028,0.014
2015-01-02 14:00,46,9.2,6.2,48,0.008,0.3,0.017,0.017
2015-01-02 15:00,43,23.6,3.3,48,0.008,0.3,0.061,0.02
2015-01-02 16:00,67,19.7,3.6,48,0.008,0.3,0.061,0.02
2015-01-02 17:00,27,16,3.5,48,0.008,0.3,0.048,0.023
2015-01-02 18:00,35,21.3,1.4,48,0.008,0.3,0.064,0.028
2015-01-02 19:00,41,22.1,3.1,48,0.008,0.3,0.045,0.03
2015-01-02 20:00,43,22.4,4,48,0.008,0.3,0.016,0.031
2015-01-02 21:00,44,22.5,3.8,49,0.008,0.3,0.038,0.011
2015-01-02 22:00,66,17.4,3.2,49,0.008,0.3,0.019,0.014
2015-01-02 23:00,47,24.9,2.6,49,0.008,0.3,0.07,0.015
2015-01-03 0:00,51,21.1,3.1,49,0.008,0.3,0.07,0.018
2015-01-03 1:00,27,18.8,0.5,49,0.008,0.3,0.07,0.028
2015-01-03 2:00,31,-3.4,5.8,50,0.008,0.3,0.037,0.007
2015-01-03 3:00,43,-3.3,6.1,50,0.008,0.3,0.039,0.008
2015-01-03 4:00,24,21.9,2.7,50,0.008,0.3,0.043,0.01
2015-01-03 5:00,83,7.6,7.5,50,0.008,0.3,0.039,0.011
2015-01-03 6:00,49,-1,6.5,50,0.008,0.3,0.03,0.017
2015-01-03 7:00,50,2.4,5.8,50,0.008,0.3,0.025,0.018
2015-01-03 8:00,62,-5.6,2.8,50,0.008,0.3,0.017,0.034
2015-01-03 9:00,33,-0.1,1.6,51,0.008,0.3,0.026,0.011
2015-01-03 10:00,28,-0.8,6.4,51,0.008,0.3,0.033,0.011
2015-01-03 11:00,93,15.8,3.2,51,0.008,0.3,0.028,0.012
2015-01-03 12:00,59,0.9,5.4,51,0.008,0.3,0.027,0.016
2015-01-03 13:00,24,24,3,51,0.008,0.3,0.055,0.021
2015-01-03 14:00,38,23,2.7,51,0.008,0.3,0.026,0.028
2015-01-03 15:00,41,15.7,3.9,51,0.008,0.3,0.045,0.03
2015-01-03 16:00,19,24,3,51,0.008,0.3,0.02,0.04
2015-01-03 17:00,40,4.5,5.3,52,0.008,0.3,0.038,0.009
2015-01-03 18:00,45,-3.1,7.2,52,0.008,0.3,0.039,0.009
2015-01-03 19:00,25,-2.4,4.3,52,0.008,0.3,0.03,0.012
